time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0.203,-0.0385549,-0.19642,-0.595328,-1.06434,-3.66599999999994,1.80000000000002,-1.10004,-0.612598
0.204,-0.0391521,-0.197484,-0.59897,-1.06252,-3.64200000000013,1.8200000000002,-1.09891,-0.612216
0.205,-0.0397529,-0.198545,-0.602589,-1.06068,-3.61900000000004,1.83999999999984,-1.09776,-0.611823
0.206,-0.0403573,-0.199605,-0.606184,-1.05884,-3.5949999999999,1.84000000000006,-1.09657,-0.611419
0.207,-0.0409652,-0.200663,-0.609755,-1.05697,-3.5710000000001,1.87000000000004,-1.09536,-0.611002
0.208,-0.0415768,-0.201719,-0.613302,-1.05509,-3.54699999999996,1.87999999999988,-1.09412,-0.610575
0.209,-0.0421918,-0.202773,-0.616825,-1.0532,-3.52299999999994,1.89000000000017,-1.09286,-0.610135
0.21,-0.0428104,-0.203826,-0.620323,-1.05129,-3.498,1.90999999999985,-1.09156,-0.609684
0.211,-0.0434325,-0.204876,-0.623797,-1.04937,-3.47400000000008,1.92000000000014,-1.09024,-0.609222
0.212,-0.044058,-0.205924,-0.627246,-1.04744,-3.44899999999992,1.92999999999999,-1.0889,-0.608747
0.213,-0.0446869,-0.206971,-0.630669,-1.04548,-3.42300000000006,1.95999999999996,-1.08752,-0.608261
0.214,-0.0453193,-0.208015,-0.634068,-1.04352,-3.39899999999993,1.95999999999996,-1.08612,-0.607764
0.215,-0.0459551,-0.209058,-0.637441,-1.04154,-3.37300000000007,1.98000000000009,-1.08469,-0.607254
0.216,-0.0465942,-0.210098,-0.640789,-1.03954,-3.34800000000001,2,-1.08324,-0.606733
0.217,-0.0472366,-0.211137,-0.64411,-1.03753,-3.3209999999999,2.00999999999984,-1.08176,-0.606201
0.218,-0.0478824,-0.212173,-0.647406,-1.03551,-3.29600000000007,2.02000000000013,-1.08025,-0.605656
0.219,-0.0485314,-0.213208,-0.650676,-1.03347,-3.26999999999999,2.03999999999982,-1.07871,-0.6051
0.22,-0.0491837,-0.21424,-0.653919,-1.03142,-3.24299999999999,2.05000000000011,-1.07715,-0.604533
0.221,-0.0498393,-0.215271,-0.657136,-1.02935,-3.21700000000002,2.07000000000001,-1.07556,-0.603953
0.222,-0.050498,-0.216299,-0.660325,-1.02727,-3.18899999999999,2.08000000000008,-1.07394,-0.603362
0.223,-0.0511599,-0.217325,-0.663488,-1.02518,-3.16299999999991,2.08999999999992,-1.0723,-0.60276
0.224,-0.051825,-0.218349,-0.666624,-1.02307,-3.13600000000002,2.11000000000005,-1.07063,-0.602145
0.225,-0.0524931,-0.219371,-0.669733,-1.02095,-3.10900000000003,2.1199999999999,-1.06893,-0.601519
0.226,-0.0531644,-0.220391,-0.672814,-1.01881,-3.081,2.14000000000003,-1.0672,-0.600882
0.227,-0.0538388,-0.221409,-0.675868,-1.01666,-3.054,2.15000000000009,-1.06545,-0.600232
0.228,-0.0545161,-0.222425,-0.678893,-1.01449,-3.02499999999994,2.17,-1.06367,-0.599571
0.229,-0.0551965,-0.223438,-0.681891,-1.01231,-2.99800000000005,2.17999999999985,-1.06187,-0.598899
0.23,-0.0558799,-0.224449,-0.68486,-1.01012,-2.969,2.19000000000013,-1.06004,-0.598214
0.231,-0.0565663,-0.225458,-0.687802,-1.00791,-2.942,2.20999999999982,-1.05818,-0.597518
0.232,-0.0572555,-0.226465,-0.690714,-1.00569,-2.91200000000002,2.22000000000011,-1.05629,-0.596811
0.233,-0.0579477,-0.22747,-0.693598,-1.00345,-2.88399999999999,2.24000000000002,-1.05438,-0.596092
0.234,-0.0586427,-0.228472,-0.696453,-1.0012,-2.85499999999994,2.24999999999986,-1.05244,-0.595361
0.235,-0.0593406,-0.229472,-0.699279,-0.998935,-2.82600000000007,2.26500000000013,-1.05047,-0.594619
0.236,-0.0600412,-0.23047,-0.702076,-0.996657,-2.79700000000005,2.278,-1.04847,-0.593865
0.237,-0.0607447,-0.231465,-0.704843,-0.994365,-2.76699999999996,2.29199999999996,-1.04645,-0.593099
0.238,-0.0614509,-0.232458,-0.70758,-0.992059,-2.73699999999999,2.30600000000003,-1.04441,-0.592323
0.239,-0.0621599,-0.233449,-0.710288,-0.98974,-2.70800000000004,2.31900000000007,-1.04233,-0.591534
0.24,-0.0628715,-0.234438,-0.712966,-0.987407,-2.67799999999996,2.33299999999992,-1.04023,-0.590734
0.241,-0.0635858,-0.235424,-0.715614,-0.98506,-2.64799999999998,2.34699999999999,-1.0381,-0.589923
0.242,-0.0643027,-0.236408,-0.718232,-0.982699,-2.61800000000001,2.36100000000006,-1.03595,-0.5891
0.243,-0.0650222,-0.23739,-0.720819,-0.980325,-2.587,2.37399999999998,-1.03377,-0.588266
